Designator,Mid X,Mid Y,Layer,Rotation
C1,140.973,-102.5868,top,180
C2,88.9,-124.578,top,180
C3,125.63,-107.616,top,90
C4,111.45,-127.16,top,0
C5,108.81,-124.09,top,-90
C6,88.534,-116.7,top,0
C7,135.7,-121.03,top,0
C8,135.7,-119.37,top,0
C9,118.6,-127.31,top,-90
C10,117.89,-114.51,top,180
C11,122.21,-110.79,top,90
C12,117.99,-118.74,top,180
C13,135.7,-117.78,top,0
C14,124.43,-126.58,top,-90
C15,135.7,-116.24,top,0
C16,127.28,-126.58,top,-90
C17,117.78,-123.57,top,-90
C18,120.36,-127.31,top,-90
C19,116.16,-123.57,top,-90
C20,147.6125,-138.79,top,90
C21,171.7125,-138.79,top,90
C22,117.6125,-138.79,top,90
C23,111.7125,-138.79,top,90
C24,141.7125,-138.79,top,90
C25,87.6125,-138.79,top,90
C26,165.371501,-115.202767,top,180
C27,169.149501,-113.002767,top,-90
C28,151.7,-144.72,top,-90
C29,175.8,-144.72,top,-90
C30,121.7,-144.72,top,-90
C31,145.8,-144.72,top,-90
C32,91.7,-144.72,top,-90
C33,115.8,-144.72,top,-90
C34,109.5,-88.3,top,180
C35,113.6,-84.7,top,90
C36,115.9,-84.7,top,90
C37,109.5,-86,top,180
C38,109.6,-90.3,top,180
C39,108,-99.5,top,180
C40,108,-97.99,top,0
C41,114.2,-91.25,top,180
C42,97.75,-110.2,top,0
C43,103.15,-110.2,top,180
C44,93.1,-95.8,top,180
C45,93.1,-88,top,180
C46,93.1,-90,top,180
C47,93.1,-92,top,180
C48,93.1,-94,top,180
D1,154.1,-91.7,top,180
D2,156,-91.7,top,180
D3,155.52,-93.9,top,180
D4,171,-91.7,top,180
D5,171,-96.7,top,180
D6,161,-91.7,top,180
D7,166,-96.7,top,180
D8,166,-91.7,top,180
D9,161,-96.7,top,180
D10,176,-91.7,top,180
D11,111.4,-80.7,top,180
D12,101.95,-80.45,top,0
D13,101.092,-88.138,top,0
J3,81.578949,-120.0404,top,-90
L1,102,-93.7,top,0
Q1,120.7125,-83.6375,top,0
Q2,89.325,-108.475,top,180
Q3,89.325,-105.025,top,0
Q4,93.2,-108.475,top,0
R1,88.92,-126.238,top,180
R2,145.413,-102.5868,top,0
R3,135.48,-103.62,top,-90
R4,135.48,-106.74,top,-90
R5,133.775,-103.62,top,-90
R6,133.775,-106.74,top,-90
R7,132.07,-103.62,top,-90
R8,132.07,-106.74,top,-90
R9,125.63,-110.82,top,-90
R10,130.26,-104.71,top,-90
R11,123.89,-110.81,top,-90
R12,114.22,-123.57,top,90
R13,88.534,-115.052,top,0
R14,91.694,-115.062,top,0
R15,90.5,-111.7,top,-90
R16,92.01,-111.71,top,-90
R17,119.38,-123.57,top,-90
R18,161.0675,-89.9,top,0
R19,166.0675,-98.5,top,180
R20,171.0675,-89.9,top,0
R21,171.0675,-98.5,top,180
R22,176.0675,-89.9,top,0
R23,125.0125,-81.4175,top,90
R24,125,-84.5,top,90
R25,110.9,-101.8,top,90
R26,110.9,-104.8,top,90
R27,109.4,-101.8,top,90
R28,109.4,-104.8,top,90
R29,114.2,-92.8,top,0
R30,101.112,-86.36,top,180
R31,114,-97.2,top,-90
R32,166.0675,-89.9,top,0
R33,161.0675,-98.5,top,180
R34,112.5,-98.6,top,-90
U1,143.193,-106.433,top,-90
U2,87.833949,-119.7154,top,-90
U3,126.04,-118.97,top,0
U4,150.5625,-138.57,top,90
U5,174.6625,-138.57,top,90
U6,120.5625,-138.57,top,90
U7,144.6625,-138.57,top,90
U8,90.5625,-138.57,top,90
U9,114.6625,-138.57,top,90
U10,165.196501,-111.940267,top,180
U11,170.055501,-107.302767,top,90
U12,162.9,-138.22,top,0
U13,132.9,-138.22,top,0
U14,102.9,-138.22,top,0
U15,167.7,-138.22,top,180
U16,137.7,-138.22,top,180
U17,107.7,-138.22,top,180
U18,109.6,-93.8,top,-90
U19,100.45,-105.3,top,180
Y1,111.45,-124.09,top,-90
